measurement_time,segment,speed_kph,0_5,day_of_week,hour_of_day
2025-05-02 21:09:00+00:00,2332541,100,45,4,21
2025-05-02 21:10:00+00:00,2332541,103,46,4,21
2025-05-02 21:11:00+00:00,2332541,103,44,4,21
2025-05-02 21:12:00+00:00,2332541,100,41,4,21
2025-05-02 21:13:00+00:00,2332541,97,39,4,21
2025-05-02 21:14:00+00:00,2332541,103,45,4,21
2025-05-02 21:15:00+00:00,2332541,100,44,4,21
2025-05-02 21:16:00+00:00,2332541,99,39,4,21
2025-05-02 21:17:00+00:00,2332541,102,39,4,21
2025-05-02 21:18:00+00:00,2332541,105,40,4,21
2025-05-02 21:19:00+00:00,2332541,104,36,4,21
2025-05-02 21:20:00+00:00,2332541,98,39,4,21
2025-05-02 21:21:00+00:00,2332541,105,43,4,21
2025-05-02 21:22:00+00:00,2332541,109,42,4,21
2025-05-02 21:23:00+00:00,2332541,111,44,4,21
2025-05-02 21:24:00+00:00,2332541,107,48,4,21
2025-05-02 21:25:00+00:00,2332541,108,47,4,21
2025-05-02 21:26:00+00:00,2332541,102,49,4,21
2025-05-02 21:27:00+00:00,2332541,111,51,4,21
2025-05-02 21:28:00+00:00,2332541,102,51,4,21
2025-05-02 21:29:00+00:00,2332541,99,48,4,21
2025-05-02 21:30:00+00:00,2332541,100,47,4,21
2025-05-02 21:31:00+00:00,2332541,107,46,4,21
2025-05-02 21:32:00+00:00,2332541,112,47,4,21
2025-05-02 21:33:00+00:00,2332541,114,45,4,21
2025-05-02 21:34:00+00:00,2332541,104,52,4,21
2025-05-02 21:35:00+00:00,2332541,102,45,4,21
2025-05-02 21:36:00+00:00,2332541,104,49,4,21
2025-05-02 21:37:00+00:00,2332541,108,41,4,21
2025-05-02 21:38:00+00:00,2332541,107,42,4,21
2025-05-02 21:39:00+00:00,2332541,103,41,4,21
2025-05-02 21:40:00+00:00,2332541,103,45,4,21
2025-05-02 21:41:00+00:00,2332541,101,47,4,21
2025-05-02 21:42:00+00:00,2332541,106,50,4,21
2025-05-02 21:43:00+00:00,2332541,107,57,4,21
2025-05-02 21:44:00+00:00,2332541,110,53,4,21
2025-05-02 21:45:00+00:00,2332541,108,49,4,21
2025-05-02 21:46:00+00:00,2332541,105,43,4,21
2025-05-02 21:47:00+00:00,2332541,103,40,4,21
2025-05-02 21:48:00+00:00,2332541,110,38,4,21
2025-05-02 21:49:00+00:00,2332541,105,36,4,21
2025-05-02 21:50:00+00:00,2332541,98,45,4,21
2025-05-02 21:51:00+00:00,2332541,102,47,4,21
2025-05-02 21:52:00+00:00,2332541,97,38,4,21
2025-05-02 21:53:00+00:00,2332541,97,40,4,21
2025-05-02 21:54:00+00:00,2332541,99,38,4,21
2025-05-02 21:55:00+00:00,2332541,105,34,4,21
2025-05-02 21:56:00+00:00,2332541,105,31,4,21
2025-05-02 21:57:00+00:00,2332541,106,33,4,21
2025-05-02 21:58:00+00:00,2332541,102,33,4,21
2025-05-02 21:59:00+00:00,2332541,98,36,4,21
2025-05-02 22:00:00+00:00,2332541,104,36,4,22
2025-05-02 22:01:00+00:00,2332541,101,40,4,22
2025-05-02 22:02:00+00:00,2332541,101,34,4,22
2025-05-02 22:03:00+00:00,2332541,104,31,4,22
2025-05-02 22:04:00+00:00,2332541,104,24,4,22
2025-05-02 22:05:00+00:00,2332541,105,27,4,22
2025-05-02 22:06:00+00:00,2332541,103,23,4,22
2025-05-02 22:07:00+00:00,2332541,101,26,4,22
2025-05-02 22:08:00+00:00,2332541,101,32,4,22
2025-05-02 22:09:00+00:00,2332541,102,25,4,22
2025-05-02 22:10:00+00:00,2332541,100,25,4,22
2025-05-02 22:11:00+00:00,2332541,100,26,4,22
2025-05-02 22:12:00+00:00,2332541,100,24,4,22
2025-05-02 22:13:00+00:00,2332541,111,22,4,22
2025-05-02 22:14:00+00:00,2332541,110,25,4,22
2025-05-02 22:15:00+00:00,2332541,111,21,4,22
2025-05-02 22:16:00+00:00,2332541,109,17,4,22
2025-05-02 22:17:00+00:00,2332541,106,19,4,22
