day_of_week,hour_of_day,segment,speed_kph_mean,speed_kph_std,0_5_mean,0_5_std
0,22,2471844,107.97333333333333,5.4471577279592704,4.443333333333333,2.047950820723624
0,23,2471843,105.05666666666667,4.646729589199186,2.41,1.8493151584259364
0,23,2471844,105.25666666666666,4.685149336278727,2.42,1.8623895895535905
1,0,2471843,106.72,5.388107801967107,2.066666666666667,1.4819613987934832
1,0,2471844,106.59,5.315016274040087,2.0633333333333335,1.4854890827396496
1,1,2471843,104.99,6.11292014033722,2.6533333333333333,1.7973844492531204
1,1,2471844,104.91666666666667,5.985745795748993,2.6633333333333336,1.815021551662372
1,2,2471843,104.01666666666667,5.401881459259223,4.333333333333333,2.444478226853485
1,2,2471844,104.11,5.458070640533782,4.333333333333333,2.4540367853876344
1,3,2471843,108.77333333333333,4.721184969256692,18.823333333333334,9.327134627351784
1,3,2471844,108.52,4.734022591799235,18.82,9.296001945670678
1,4,2471843,109.46,3.7792427264313515,48.93666666666667,10.269576568610344
1,4,2471844,109.35333333333334,3.6769855813479007,49.00333333333333,10.284741541923625
1,5,2471843,100.56666666666666,19.65995766373932,68.25333333333333,9.771767856724178
1,5,2471844,100.33666666666667,19.901176976224757,68.22333333333333,9.840540789627875
1,6,2471843,96.93311036789298,26.44156925351537,60.00334448160535,10.840050746481928
1,6,2471844,96.60535117056857,26.907586779613673,59.96655518394649,10.818463206348309
1,7,2471843,104.43666666666667,7.575659991263668,45.46333333333333,7.45703337200926
1,7,2471844,104.32333333333334,7.483233581704502,45.50333333333333,7.497378954865837
1,8,2471843,104.61333333333333,4.153874230880792,38.3,6.449443210522326
1,8,2471844,104.45,4.196769740429016,38.24,6.425471886422872
1,9,2471843,104.1371237458194,3.842266671628985,36.8561872909699,6.234461504146414
1,9,2471844,103.93979933110369,3.8846265521320915,36.8494983277592,6.284162319371234
1,10,2471843,104.81666666666666,3.8660327970044315,42.46333333333333,6.866280525125764
1,10,2471844,104.68333333333334,3.8858790178491263,42.53333333333333,6.850204856606878
1,11,2471843,105.24418604651163,3.8588387700618534,42.76744186046512,6.751610400454495
1,11,2471844,105.04651162790698,3.846643235422596,42.7906976744186,6.744597283362944
1,12,2471843,105.62777777777778,3.753595202219221,48.5,9.149333659162577
1,12,2471844,105.43888888888888,3.6864033681399837,48.519444444444446,9.148095055504026
1,13,2471843,106.39444444444445,3.7727910539463805,64.24722222222222,11.121386111059165
1,13,2471844,106.21111111111111,3.9999845248849466,64.30833333333334,11.204701435640231
1,14,2471843,102.44166666666666,12.646993653353611,63.394444444444446,13.204201754751853
1,14,2471844,102.02222222222223,13.060158878154,63.40555555555556,13.221573163015906
1,15,2471843,106.89722222222223,3.90956160306953,61.730555555555554,9.817110849361939
1,15,2471844,106.6138888888889,3.8781333115364744,61.81388888888889,9.863769917190046
1,16,2471843,108.1,4.1107237974930575,41.96666666666667,12.629011125403718
1,16,2471844,107.99722222222222,4.023260094614794,41.97222222222222,12.591251574720006
1,17,2471843,108.93055555555556,5.003971650701826,29.655555555555555,6.356031261348049
1,17,2471844,108.64444444444445,4.985910200369929,29.72222222222222,6.416861107160226
1,18,2471843,107.77222222222223,4.328219967167162,23.663888888888888,6.125505051215505
1,18,2471844,107.42222222222222,4.290892805079833,23.733333333333334,6.1364248798797085
1,19,2471843,108.70833333333333,4.4995744150346635,21.375,5.048062867938843
1,19,2471844,108.50555555555556,4.4207628908701935,21.391666666666666,5.057820277649534
1,20,2471843,110.52222222222223,3.925426798370528,17.969444444444445,5.348746732880878
1,20,2471844,110.43888888888888,3.898666136999552,17.97222222222222,5.365141337008616
1,21,2471843,109.02228412256268,4.378662625542489,10.147632311977716,4.046922924953879
1,21,2471844,108.57103064066852,4.390803848046445,10.147632311977716,4.039323290670207
1,22,2471843,108.19722222222222,4.895850446442755,4.611111111111111,2.834111532215162
1,22,2471844,107.71944444444445,4.91619570317243,4.608333333333333,2.8391291967961365
1,23,2471843,106.63888888888889,6.624647056464008,2.5555555555555554,1.8933168555653692
1,23,2471844,106.24166666666666,6.678860134929451,2.5527777777777776,1.8815903471803561
2,0,2471843,105.425,4.75645727342019,2.316666666666667,1.5476642478119833
