day_of_week,hour_of_day,segment,speed_kph_mean,speed_kph_std,0_5_mean,0_5_std
0,23,2332541,105.80333333333333,4.139457199752661,5.016666666666667,2.5700335530432508
1,0,2332540,105.49666666666667,4.237512311587825,3.3,1.9380022814252218
1,0,2332541,104.85666666666667,4.491849425320784,3.3033333333333332,1.9503851490550281
1,1,2332540,107.51,5.5809548337347605,3.5833333333333335,2.1443841774638734
1,1,2332541,106.51,5.664821327182017,3.5966666666666667,2.157817448881596
1,2,2332540,105.98,4.89552385819473,5.46,3.2971661086190474
1,2,2332541,105.51,5.002664841701336,5.466666666666667,3.287081568760935
1,3,2332540,106.96,3.8122843159561874,20.773333333333333,10.410405565379023
1,3,2332541,106.25666666666666,3.778674833927547,20.783333333333335,10.468445445993462
1,4,2332540,97.82333333333334,19.57163641759242,71.82333333333334,23.030126892932458
1,4,2332541,97.19333333333333,18.55163513303486,71.79333333333334,23.085502455747783
1,5,2332540,48.37,24.36058071919857,87.05,11.439275475805768
1,5,2332541,51.54666666666667,22.03708842936609,86.90666666666667,11.384638283745705
1,6,2332540,38.36120401337793,15.164975318075399,78.45150501672241,13.871660892454196
1,6,2332541,42.869565217391305,14.291537018363085,78.2876254180602,13.739335609852347
1,7,2332540,64.86333333333333,34.244810004774436,67.38,12.96672871281364
1,7,2332541,66.03333333333333,31.923909674703335,67.42666666666666,12.86999396676513
1,8,2332540,100.10666666666667,8.879834481770152,57.56333333333333,8.827934657851737
1,8,2332541,99.22,8.8585087490799,57.516666666666666,8.76236186808365
1,9,2332540,101.20401337792642,3.822643233210631,56.575250836120404,9.597094228890974
1,9,2332541,100.39799331103679,3.66446696087406,56.53846153846154,9.64335632003332
1,10,2332540,101.32333333333334,3.8455275967301175,58.333333333333336,9.152492334988814
1,10,2332541,100.70666666666666,3.6994922668293246,58.36333333333334,9.197825224025951
1,11,2332540,100.96220930232558,4.105925718829187,59.127906976744185,9.011552691065939
1,11,2332541,100.20348837209302,4.1823437756347035,59.10174418604651,8.939941976691642
1,12,2332540,101.72222222222223,3.932658142007811,62.25277777777778,9.40485224468474
1,12,2332541,100.90555555555555,3.8584959937717103,62.294444444444444,9.354484258101378
1,13,2332540,98.75555555555556,15.440648240112841,62.388888888888886,9.809545058230695
1,13,2332541,97.79722222222222,15.48943365448046,62.43333333333333,9.834621353096137
1,14,2332540,79.85555555555555,34.21391370561691,58.727777777777774,12.636257051138891
1,14,2332541,79.05833333333334,33.14262985414743,58.769444444444446,12.74496611413255
1,15,2332540,77.87777777777778,36.26875164687786,60.68333333333333,9.27420419819131
1,15,2332541,77.6138888888889,35.346329905086435,60.638888888888886,9.249415483384741
1,16,2332540,103.28055555555555,10.905093733131375,47.791666666666664,8.311044938307925
1,16,2332541,102.275,11.172461044634332,47.791666666666664,8.332801747204677
1,17,2332540,107.4888888888889,3.979738221383372,41.419444444444444,7.313829364228416
1,17,2332541,106.68055555555556,3.9199027505164863,41.42777777777778,7.358341338136597
1,18,2332540,108.12222222222222,3.8721281827402985,32.605555555555554,6.307352761249664
1,18,2332541,107.525,3.834956864218662,32.62777777777778,6.264842481290509
1,19,2332540,108.31111111111112,3.971049676193383,31.038888888888888,5.800167021789646
1,19,2332541,107.56111111111112,3.9420084369351387,31.033333333333335,5.7766217923174015
1,20,2332540,108.80833333333334,4.047687534044476,30.694444444444443,6.978356689510894
1,20,2332541,108.24722222222222,3.9773023227604587,30.71388888888889,6.961799977672735
1,21,2332540,109.77437325905292,4.227049182072844,17.50974930362117,5.422824687430626
1,21,2332541,109.38440111420613,4.250846989619926,17.532033426183844,5.406230012550358
1,22,2332540,109.06388888888888,4.641321777551428,9.002777777777778,3.5004962729030114
1,22,2332541,108.39444444444445,4.6874421486164914,9.016666666666667,3.5198996567110767
1,23,2332540,106.62777777777778,4.887059321147892,4.902777777777778,2.38355392425076
1,23,2332541,106.2388888888889,4.596672999215263,4.916666666666667,2.3823281606825417
2,0,2332540,105.18888888888888,5.507947045510116,3.033333333333333,1.7115045751804197
2,0,2332541,104.26388888888889,5.618297444196411,3.0555555555555554,1.759090111162332
2,1,2332540,107.62222222222222,5.229182688904046,3.9027777777777777,2.0695411614663293
2,1,2332541,106.55555555555556,5.609107419320226,3.888888888888889,2.0614214445428294
2,2,2332540,105.79166666666667,4.496168285096866,6.025,2.926573571445076
2,2,2332541,104.84444444444445,4.731595009502858,6.058333333333334,2.943182954777443
2,3,2332540,106.425,4.300668795563838,19.822222222222223,10.25803879649905
2,3,2332541,105.70555555555555,4.196028394398513,19.822222222222223,10.267267162797632
2,4,2332540,105.26666666666667,3.9482727791679544,62.458333333333336,18.368055032649796
2,4,2332541,104.26666666666667,4.01958991242476,62.486111111111114,18.405819183630182
2,5,2332540,91.72777777777777,22.022988889254286,86.26388888888889,12.900943645772909
2,5,2332541,91.3861111111111,20.343247465066774,86.26666666666667,12.865102545636757
2,6,2332540,85.81666666666666,27.161022990977987,89.1138888888889,10.923426890376618
2,6,2332541,86.0111111111111,24.98366907022388,89.01944444444445,10.953289516055513
2,7,2332540,99.29166666666667,11.526447123329374,65.69166666666666,11.21414434659122
2,7,2332541,98.43055555555556,11.540200281265655,65.72777777777777,11.28132558814293
2,8,2332540,101.25277777777778,3.778696044205047,55.355555555555554,8.509619149815082
2,8,2332541,100.4,3.877799105845026,55.36666666666667,8.488169712584567
2,9,2332540,101.6,3.6870623766569635,57.855555555555554,10.404424932994608
2,9,2332541,100.88055555555556,3.648888062357159,57.83888888888889,10.275407474255855
2,10,2332540,102.03888888888889,3.4307537342968115,58.33888888888889,8.586550271130463
2,10,2332541,101.28888888888889,3.598187239184855,58.361111111111114,8.591804016330295
2,11,2332540,102.30311614730878,3.6550737510583873,60.594900849858355,8.961893890613664
2,11,2332541,101.43342776203966,3.756314967827183,60.6628895184136,8.961547250724266
2,12,2332540,102.54722222222222,3.816544114188829,59.766666666666666,8.356006296408992
